project_id,state,district,project_type,land_area_acres,affected_families,compensation_status,approval_delay_days,legal_disputes,possession_status,rehab_progress_pct,stakeholder_responsiveness_pct,historical_performance_score,documentation_status,notification_status,departments_involved,acquisition_stage,historical_delay_count,is_delayed,delay_days,geo_source,latitude,longitude,location_type
GIS-0018,Chhattisgarh,Raipur,Railway,29.0,18,Mostly Paid,3,1,Partial,52.7,59.9,20.1,Complete,Pending,4,Notification,0,0,20,synthetic_demo_district_reference,21.2514,81.6296,district_reference
GIS-0019,Goa,Canacona,Highway,53.8,26,Partially Paid,16,2,Partial,57.3,60.8,88.4,Partially Complete,Completed,4,Compensation,0,0,14,synthetic_demo_district_reference,15.0167,74.02,district_reference
GIS-0020,Goa,Margao,Highway,29.4,7,Mostly Paid,19,0,Mostly Obtained,36.8,72.5,48.7,Partially Complete,Partially Completed,4,Compensation,1,0,15,synthetic_demo_district_reference,15.2993,73.9862,district_reference
GIS-0021,Goa,Panaji,Airport,13.6,5,Mostly Paid,60,0,Mostly Obtained,67.1,33.0,39.7,Complete,Completed,3,Possession,3,0,14,synthetic_demo_district_reference,15.4909,73.8278,district_reference
GIS-0022,Gujarat,Ahmedabad,Railway,40.9,17,Mostly Paid,12,0,Partial,74.3,96.9,87.9,Complete,Pending,5,Planning,2,0,20,synthetic_demo_district_reference,23.0225,72.5714,district_reference
GIS-0023,Gujarat,Rajkot,Airport,29.7,12,Partially Paid,27,1,Partial,38.5,74.4,74.9,Incomplete,Partially Completed,4,Possession,2,0,0,synthetic_demo_district_reference,22.3039,70.8022,district_reference
GIS-0024,Gujarat,Surat,Irrigation,22.3,6,Fully Paid,16,0,Mostly Obtained,22.8,52.5,76.6,Complete,Completed,6,Closure,0,0,21,synthetic_demo_district_reference,21.1702,72.8311,district_reference
GIS-0025,Gujarat,Vadodara,Metro,19.4,7,Mostly Paid,142,1,Mostly Obtained,69.0,52.9,62.6,Complete,Partially Completed,1,Notification,1,0,2,synthetic_demo_district_reference,22.3072,73.1812,district_reference
GIS-0026,Haryana,Gurugram,Power,7.8,2,Fully Paid,9,2,Not Started,74.4,80.8,59.2,Complete,Completed,5,Compensation,0,0,15,synthetic_demo_district_reference,28.4595,77.0266,district_reference
GIS-0027,Punjab,Amritsar,Industrial,47.1,28,Mostly Paid,67,0,Mostly Obtained,57.2,58.8,58.0,,Completed,2,Rehabilitation,1,0,2,synthetic_demo_district_reference,31.634,74.8723,district_reference
GIS-0028,Punjab,Ludhiana,Railway,11.5,6,Mostly Paid,4,2,Full,27.0,40.9,49.0,Partially Complete,Partially Completed,2,Compensation,0,0,10,synthetic_demo_district_reference,30.901,75.8573,district_reference
GIS-0029,Punjab,Patiala,Highway,13.8,5,Partially Paid,12,4,Full,15.1,36.8,91.8,Complete,Partially Completed,2,Notification,3,1,108,synthetic_demo_district_reference,30.3398,76.3869,district_reference
GIS-0030,Rajasthan,Jaipur,Airport,9.3,7,Not Started,73,0,Partial,40.9,56.0,52.9,Partially Complete,Completed,4,Planning,4,1,122,synthetic_demo_district_reference,26.9124,75.7873,district_reference
GIS-0031,Rajasthan,Jodhpur,Industrial,35.2,23,Partially Paid,38,1,Partial,9.6,80.0,88.2,Partially Complete,Completed,6,Compensation,0,0,21,synthetic_demo_district_reference,26.2389,73.0243,district_reference
GIS-0032,Rajasthan,Udaipur,Airport,36.1,17,Not Started,71,0,Full,53.6,92.7,75.8,Complete,Pending,5,Closure,1,1,103,synthetic_demo_district_reference,24.5854,73.7125,district_reference
GIS-0033,Sikkim,Gangtok,Railway,30.6,10,Partially Paid,15,0,Full,63.0,62.5,98.0,Partially Complete,Pending,2,Compensation,2,0,3,synthetic_demo_district_reference,27.3389,88.6065,district_reference
GIS-0034,Sikkim,Namchi,Highway,69.1,31,Fully Paid,24,0,Mostly Obtained,8.7,68.9,93.0,Complete,Pending,4,Closure,1,0,0,synthetic_demo_district_reference,27.1667,88.35,district_reference
GIS-0035,Tamil Nadu,Chennai,Industrial,5.0,3,Mostly Paid,4,0,Partial,34.6,75.0,77.2,Complete,Completed,4,Planning,1,0,12,synthetic_demo_district_reference,13.0827,80.2707,district_reference
GIS-0036,Tamil Nadu,Coimbatore,Highway,15.6,11,Fully Paid,61,1,Mostly Obtained,49.9,71.5,69.0,Complete,Pending,6,Notification,1,1,106,synthetic_demo_district_reference,11.0168,76.9558,district_reference
GIS-0037,Tamil Nadu,Madurai,Highway,29.9,17,Mostly Paid,21,0,Partial,79.2,94.7,17.3,Complete,Completed,1,Rehabilitation,0,0,32,synthetic_demo_district_reference,9.9252,78.1198,district_reference
GIS-0038,Telangana,Hyderabad,Irrigation,144.4,45,Partially Paid,19,0,Full,87.7,29.3,34.8,Partially Complete,Completed,4,Notification,3,0,23,synthetic_demo_district_reference,17.385,78.4867,district_reference
GIS-0039,Telangana,Nizamabad,Highway,230.2,86,Partially Paid,54,0,Partial,11.8,68.5,30.7,Complete,Completed,3,Compensation,2,0,3,synthetic_demo_district_reference,18.6725,78.0941,district_reference
GIS-0040,Telangana,Warangal,Airport,37.0,13,Not Started,15,1,Mostly Obtained,84.5,64.2,84.6,Incomplete,Completed,5,Possession,1,0,12,synthetic_demo_district_reference,17.9689,79.5941,district_reference
GIS-0041,Tripura,Agartala,Irrigation,35.0,18,Fully Paid,29,0,Partial,78.2,96.4,42.3,Partially Complete,Completed,4,Notification,0,0,0,synthetic_demo_district_reference,23.8315,91.2868,district_reference
GIS-0042,Tripura,Dharmanagar,Metro,12.3,11,Mostly Paid,84,2,Mostly Obtained,41.8,86.1,53.3,Incomplete,Completed,5,Notification,0,1,131,synthetic_demo_district_reference,24.3762,92.1667,district_reference
GIS-0043,Tripura,Udaipur,Highway,151.4,66,Mostly Paid,37,0,Full,51.6,46.8,84.7,Complete,Completed,6,Closure,0,0,11,synthetic_demo_district_reference,23.5333,91.4833,district_reference
GIS-0044,Uttar Pradesh,Agra,Metro,9.7,5,Fully Paid,45,2,Not Started,36.9,68.4,79.9,Partially Complete,Pending,3,Compensation,1,1,199,synthetic_demo_district_reference,27.1767,78.0081,district_reference
GIS-0045,Uttar Pradesh,Lucknow,Power,5.8,4,Not Started,103,0,Full,37.6,80.2,83.3,Complete,,2,Possession,1,0,7,synthetic_demo_district_reference,26.8467,80.9462,district_reference
GIS-0046,Uttar Pradesh,Varanasi,Railway,19.9,13,Partially Paid,31,2,Full,29.1,82.0,72.3,Partially Complete,Pending,2,Closure,0,1,52,synthetic_demo_district_reference,25.3176,82.9739,district_reference
GIS-0047,Uttarakhand,Dehradun,Highway,26.2,10,Mostly Paid,7,0,Full,56.7,88.5,56.7,Partially Complete,Completed,6,Possession,0,0,23,synthetic_demo_district_reference,30.3165,78.0322,district_reference
GIS-0048,Uttarakhand,Haridwar,Airport,5.0,6,Partially Paid,34,3,Mostly Obtained,70.4,35.9,65.1,Complete,Completed,2,Planning,4,0,19,synthetic_demo_district_reference,29.9457,78.1642,district_reference
GIS-0049,Uttarakhand,Nainital,Railway,16.8,5,Fully Paid,32,2,Full,11.6,86.6,49.0,Incomplete,Partially Completed,5,Compensation,1,0,27,synthetic_demo_district_reference,29.3919,79.4542,district_reference
GIS-0050,West Bengal,Durgapur,Railway,31.7,16,Partially Paid,20,0,Full,23.9,77.8,61.3,Partially Complete,Partially Completed,6,Closure,1,0,0,synthetic_demo_district_reference,23.5204,87.3119,district_reference
GIS-0051,West Bengal,Kolkata,Irrigation,26.0,8,Partially Paid,35,0,Full,27.8,58.2,55.5,Partially Complete,Pending,3,Planning,0,0,3,synthetic_demo_district_reference,22.5726,88.3639,district_reference
GIS-0052,West Bengal,Siliguri,Power,15.9,9,Partially Paid,13,0,Partial,87.3,71.3,59.0,Partially Complete,Pending,3,Rehabilitation,1,0,0,synthetic_demo_district_reference,26.7271,88.3953,district_reference
GIS-0053,Uttar Pradesh,Mathura,Land Acquisition Pilot,50.0,0,,0,0,,0,0,0,,,0,Planning,0,0,0,official_up_geodashboard_reference,27.4924,77.6737,district_reference
GIS-0054,Karnataka,Bengaluru Urban,Highway,53.8,0,,0,0,,0,0,0,,,0,Planning,0,0,0,public_district_reference,12.9700,77.5600,district_reference
GIS-0055,Bihar,Nalanda,Highway,23.7,19,Public reference,0,0,Public district headquarters reference,0,0,0,Reference,Reference,0,Planning,0,0,0,public_district_headquarters_reference,25.2008,85.5239,district_reference
