project_id,state,district,project_type,land_area_acres,affected_families,compensation_status,approval_delay_days,legal_disputes,possession_status,rehab_progress_pct,stakeholder_responsiveness_pct,historical_performance_score,documentation_status,notification_status,departments_involved,acquisition_stage,historical_delay_count,is_delayed,delay_days,latitude,longitude,geo_source,green_zone_status,green_zone_pct,forest_area_pct,tree_cover_pct,protected_area_distance_km,eco_sensitive_zone,wetland_present,waterbody_distance_m,environmental_clearance_required,environmental_clearance_status,tree_cutting_required,tree_compensation_required,elevation_m,slope_degree,distance_to_road_km,distance_to_highway_km,distance_to_railway_km,distance_to_city_km,terrain_type,land_use_type,agricultural_area_pct,residential_area_pct,commercial_area_pct,industrial_area_pct,land_conversion_required,land_conversion_status,landowners_count,displaced_families,vulnerable_households,livelihood_dependency_pct,consent_status,opposition_level,rehabilitation_required,resettlement_status,ownership_type,ownership_conflict,title_verification_status,title_defect_flag,encumbrance_status,inheritance_dispute,mutation_status,record_completeness_pct,boundary_dispute,court_case_status,required_clearances_count,clearances_obtained_count,public_hearing_status,authority_approval_status,gazette_notification_status,documentation_completeness_pct,estimated_land_value_lakh,estimated_compensation_lakh,compensation_paid_pct,compensation_dispute,market_value_variance_pct,additional_compensation_claim,electricity_infrastructure_present,water_infrastructure_present,utility_shift_required,utility_shift_status,distance_to_school_km,distance_to_hospital_km,distance_to_market_km,flood_risk,waterlogging_risk,erosion_risk,seismic_zone,soil_type,drainage_quality,risk_score_demo,risk_band_demo,data_status,provenance_note
LA-0011,Maharashtra,Aurangabad,Industrial,37.5,15,Partially Paid,26,0,Mostly Obtained,41.2,89.3,41.8,Complete,Completed,1,Rehabilitation,1,1,96,22.601412,88.431128,synthetic_demo_district_center,Non-Green Zone,35.2,4.1,6.6,10.55,No,No,1288.0,No,Not Required,Yes,Yes,1014.6,5.6,2.36,1.01,7.65,17.99,Plain,Residential,66.9,4.3,2.4,8.7,Yes,Not Required,7,1,0,47.4,Partial,Low,Yes,Not Required,Institutional,,Verified,No,Clear,No,Updated,61.7,No,Pending,1,1,Completed,Approved,Pending,50.7,850.41,1355.22,26.3,No,26.9,Yes,No,Yes,No,Not Required,2.72,1.37,2.96,Low,Medium,Medium,III,Alluvial,Poor,46.7,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0012,Odisha,Sambalpur,Power,11.4,7,Fully Paid,74,0,Mostly Obtained,79.1,39.8,56.1,Incomplete,Completed,1,Possession,0,0,19,22.903636,72.475329,synthetic_demo_district_center,Non-Green Zone,45.3,13.2,13.5,4.29,No,No,992.0,No,Not Required,No,No,1412.5,3.4,1.64,11.28,8.35,10.28,Plain,Agricultural,52.9,5.4,1.7,1.1,No,Not Required,26,4,8,29.0,Partial,Low,Yes,Completed,Private,Possible,Under Review,No,Clear,No,Updated,91.9,Yes,,2,2,Pending,Partially Approved,Issued,62.8,7935.27,11158.87,36.4,No,-14.2,No,Yes,No,No,In Progress,0.77,1.15,9.24,Low,Medium,Low,III,Loamy,Poor,60.8,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0013,Odisha,Khordha,Industrial,24.1,12,Partially Paid,2,2,Partial,24.3,58.4,65.3,Incomplete,Pending,5,Rehabilitation,0,1,93,23.042128,85.396403,synthetic_demo_district_center,Non-Green Zone,22.9,5.1,19.4,6.09,No,No,766.0,No,Not Required,No,No,1798.5,2.6,4.06,6.82,0.97,11.27,Plain,Residential,78.4,7.6,4.0,3.1,Yes,Not Required,14,3,2,47.0,Partial,Low,Yes,In Progress,Private,Possible,Under Review,No,Reported,No,Updated,96.3,No,Disposed,0,0,Not Required,Partially Approved,Pending,58.7,4249.48,7830.95,91.8,No,-14.9,No,Yes,Yes,No,In Progress,1.5,1.52,0.93,Low,Low,High,V,Red,Moderate,35.2,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0014,Madhya Pradesh,Ujjain,Highway,21.5,13,Mostly Paid,128,1,Mostly Obtained,25.6,75.8,68.4,Complete,Partially Completed,2,Rehabilitation,2,0,1,13.104872,80.273251,synthetic_demo_district_center,Non-Green Zone,7.6,17.7,5.0,3.19,No,No,237.0,No,Not Required,Yes,Yes,85.1,3.7,2.5,15.0,10.79,2.99,Plateau,Residential,56.2,4.1,1.1,4.5,No,Pending,12,1,3,46.8,Obtained,High,Yes,Completed,Private,,Verified,No,Clear,No,Updated,78.2,No,,5,1,Completed,Approved,Issued,52.7,877.45,1811.66,6.0,No,9.1,No,Yes,Yes,No,Completed,1.89,2.45,4.19,Low,Low,Low,II,Red,Good,40.2,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0015,Gujarat,Surat,Railway,29.0,18,Mostly Paid,3,1,Partial,52.7,59.9,20.1,Complete,Pending,4,Notification,0,0,20,13.0765,77.596375,synthetic_demo_district_center,Non-Green Zone,8.0,2.0,9.2,15.02,No,No,733.0,No,Not Required,No,No,1420.6,4.9,2.69,15.25,5.11,18.31,Plain,Government,72.4,6.4,1.3,6.6,No,Approved,9,1,3,89.1,Obtained,Medium,Yes,Not Required,Private,,Issue Found,Yes,Clear,No,Updated,87.0,No,,1,1,Pending,Approved,Issued,80.1,521.52,556.36,93.9,Yes,13.4,No,Yes,Yes,Yes,Pending,1.65,2.8,0.11,Low,Medium,Low,II,Alluvial,Good,62.4,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0016,Bihar,Nalanda,Irrigation,18.6,10,Fully Paid,37,2,Partial,33.1,73.3,30.7,Complete,Completed,4,Possession,0,0,11,23.437084,85.564036,synthetic_demo_district_center,Non-Green Zone,25.9,7.9,15.3,2.51,No,No,834.0,No,Not Required,No,No,1020.3,11.8,2.84,15.96,12.1,2.47,Hilly,Agricultural,81.9,3.7,4.8,4.0,No,Not Required,3,0,1,74.8,Partial,Low,No,Not Required,Joint,,Verified,No,Clear,No,Updated,69.6,No,,1,1,Not Required,Pending,Issued,59.3,346.41,678.36,87.0,No,4.1,No,Yes,Yes,Yes,Completed,1.59,3.58,6.63,Low,Medium,Medium,III,Laterite,Good,45.2,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0017,Rajasthan,Jaipur,Industrial,22.2,9,Fully Paid,7,1,Not Started,41.1,71.5,64.7,Incomplete,Partially Completed,5,Possession,0,0,17,20.405621,85.754789,synthetic_demo_district_center,Non-Green Zone,21.8,6.0,16.2,0.93,No,No,73.0,No,Not Required,Yes,Yes,1773.4,1.9,1.82,0.64,3.35,10.04,Hilly,Commercial,50.8,12.9,3.9,1.0,Yes,Pending,2,0,2,97.7,Obtained,Low,No,In Progress,Joint,,Verified,No,Reported,No,Pending,82.9,No,,2,2,Pending,Partially Approved,Issued,62.7,2258.93,2529.14,2.4,No,1.4,No,No,Yes,Yes,Completed,2.15,2.91,4.84,High,Medium,Low,III,Loamy,Moderate,36.1,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0018,Odisha,Cuttack,Highway,45.6,20,Mostly Paid,41,0,Partial,39.6,27.1,73.7,Incomplete,Pending,4,Rehabilitation,1,1,91,28.264774,76.899651,synthetic_demo_district_center,Green Zone,33.2,6.8,9.9,2.28,No,No,999.0,Yes,Approved,Yes,Yes,179.8,4.3,1.62,3.18,8.12,5.81,Plain,Residential,47.7,19.5,6.4,6.6,No,Not Required,8,5,1,60.7,Partial,Low,Yes,In Progress,Private,,Under Review,No,Clear,No,Updated,72.5,No,,5,1,Pending,Pending,Issued,58.8,1632.91,2862.83,81.1,No,-5.5,Yes,Yes,Yes,Yes,Completed,3.04,7.44,2.37,Low,High,Medium,II,Loamy,Moderate,43.7,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0019,Gujarat,Bhavnagar,Irrigation,17.7,10,Partially Paid,64,0,Partial,60.3,84.4,51.7,Complete,Completed,3,Compensation,0,0,22,22.6106,88.383484,synthetic_demo_district_center,Non-Green Zone,9.9,2.9,22.7,2.47,No,No,1028.0,No,Not Required,Yes,Yes,624.5,3.9,0.28,5.61,8.04,5.99,Plain,Commercial,61.7,3.7,7.6,3.5,No,Not Required,2,1,0,84.7,Pending,Medium,Yes,Completed,Private,,Under Review,No,Under Verification,No,Updated,61.9,No,,3,3,Completed,Approved,Issued,64.3,1017.92,2145.28,92.6,No,5.0,No,Yes,Yes,No,Not Required,4.52,2.48,7.35,Low,Low,Low,II,Sandy,Good,31.9,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0020,Rajasthan,Ajmer,Highway,7.4,6,Mostly Paid,52,0,Mostly Obtained,47.3,66.3,67.1,Complete,Completed,2,Planning,2,0,14,17.48695,78.490321,synthetic_demo_district_center,Non-Green Zone,12.9,9.6,15.9,5.38,No,No,612.0,No,Not Required,No,No,508.4,1.8,1.5,1.55,14.11,2.96,Hilly,Government,56.9,9.1,2.5,0.4,No,Not Required,9,2,2,47.2,Partial,Low,Yes,Not Required,Private,,Verified,No,Clear,No,Not Available,86.8,No,,1,1,Not Required,Pending,Issued,58.0,2539.05,4235.38,8.4,No,2.2,Yes,Yes,No,No,Not Required,1.4,0.79,3.53,Medium,Medium,Low,III,Black,Poor,36.5,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0021,Bihar,Gaya,Power,91.1,49,Fully Paid,58,0,Mostly Obtained,63.1,82.6,92.3,Complete,Pending,1,Possession,1,0,24,22.714897,88.452881,synthetic_demo_district_center,Non-Green Zone,24.5,15.3,5.3,11.58,No,No,500.0,No,Not Required,Yes,Yes,205.3,5.5,3.11,4.29,3.94,8.77,Plain,Residential,72.2,2.9,1.5,2.6,No,Pending,5,3,1,37.9,Obtained,Low,Yes,Planned,Private,,Verified,No,Under Verification,No,Updated,98.8,No,,2,2,Not Required,Pending,Issued,97.8,487.13,534.27,41.0,No,22.6,Yes,Yes,Yes,Yes,In Progress,3.0,1.02,5.14,Low,Low,High,II,Laterite,Good,31.0,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0022,Uttar Pradesh,Agra,Highway,69.1,31,Fully Paid,24,0,Mostly Obtained,8.7,68.9,93.0,Complete,Pending,4,Closure,1,0,0,30.444556,77.997874,synthetic_demo_district_center,Green Zone,9.8,8.9,9.3,2.04,No,No,121.0,Yes,Pending,Yes,Yes,457.3,4.2,3.59,8.75,9.34,14.61,Plain,Residential,62.5,12.4,2.4,3.6,Yes,Pending,4,0,0,42.5,Obtained,Low,No,Planned,Government,Possible,Verified,No,Clear,No,Updated,88.8,Yes,,6,2,Pending,Partially Approved,Pending,74.6,1552.04,2997.03,64.0,No,21.9,No,Yes,No,Yes,Not Required,1.52,1.94,2.18,Low,High,Low,III,Alluvial,Good,44.9,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0023,Tamil Nadu,Salem,Airport,9.3,7,Not Started,73,0,Partial,40.9,56.0,52.9,Partially Complete,Completed,4,Planning,4,1,122,12.848371,77.609574,synthetic_demo_district_center,Green Zone,16.5,2.5,10.1,13.85,No,No,205.0,Yes,Not Required,Yes,Yes,591.9,8.3,1.64,9.0,5.92,2.48,Plain,Commercial,59.0,7.1,4.2,3.8,Yes,Not Required,3,0,1,25.9,Obtained,Low,No,In Progress,Private,,Verified,No,Reported,No,Updated,67.6,No,,0,0,Completed,Partially Approved,Issued,58.4,694.46,1248.93,82.9,No,-4.0,No,Yes,Yes,Yes,Completed,3.62,3.21,2.83,High,Medium,Low,II,Alluvial,Moderate,48.4,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0024,Gujarat,Vadodara,Railway,41.2,27,Partially Paid,110,0,Partial,56.1,47.8,93.4,Complete,Completed,4,Notification,0,1,153,23.229835,77.480381,synthetic_demo_district_center,Non-Green Zone,17.0,3.9,18.3,1.57,No,No,225.0,No,Pending,No,No,1251.1,0.8,0.88,4.95,2.43,13.42,Plateau,Agricultural,70.0,9.3,0.1,4.2,No,Approved,6,3,0,51.9,Obtained,Low,Yes,Not Required,Private,,Issue Found,Yes,Under Verification,No,Updated,90.4,No,,6,1,Completed,Pending,Issued,94.2,1055.19,1237.34,32.9,No,3.8,No,Yes,No,No,Pending,1.1,2.09,5.11,Low,Medium,Low,II,Red,Poor,60.6,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0025,West Bengal,Kolkata,Railway,16.8,5,Fully Paid,32,2,Full,11.6,86.6,49.0,Incomplete,Partially Completed,5,Compensation,1,0,27,17.395024,78.392022,synthetic_demo_district_center,Buffer Zone,44.9,7.6,25.3,3.4,No,No,748.0,No,Pending,No,No,1349.3,3.4,5.88,3.63,2.57,8.65,Plain,Agricultural,82.0,3.2,2.9,3.2,No,Not Required,14,11,5,62.7,Obtained,Medium,Yes,Not Required,Institutional,,Verified,No,Clear,No,Pending,63.6,No,,3,3,Completed,Approved,Issued,62.4,1407.45,2245.22,49.1,No,23.9,No,No,Yes,Yes,Not Required,1.52,2.74,1.77,Medium,Medium,Low,IV,Loamy,Good,57.3,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0026,Uttar Pradesh,Lucknow,Highway,29.9,17,Mostly Paid,21,0,Partial,79.2,94.7,17.3,Complete,Completed,1,Rehabilitation,0,0,32,30.317936,77.896855,synthetic_demo_district_center,Non-Green Zone,23.9,2.8,5.3,2.27,No,No,361.0,No,Not Required,No,No,35.6,3.3,2.68,6.57,4.42,4.8,Plain,Wasteland,25.2,14.7,1.1,2.3,No,Not Required,6,5,3,90.0,Obtained,Low,Yes,Completed,Private,Possible,Under Review,No,Clear,No,Updated,79.4,No,,3,3,Completed,Approved,Pending,89.4,1544.39,3136.09,85.7,No,-9.3,No,Yes,No,No,In Progress,1.81,0.62,7.26,Medium,High,Low,IV,Loamy,Good,43.0,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0027,Tamil Nadu,Tiruchirappalli,Railway,30.6,10,Partially Paid,15,0,Full,63.0,62.5,98.0,Partially Complete,Pending,2,Compensation,2,0,3,31.107347,77.001017,synthetic_demo_district_center,Non-Green Zone,9.1,16.1,20.6,3.54,No,No,444.0,No,Not Required,No,No,1689.1,4.4,4.5,6.98,11.34,1.53,Plain,Residential,85.4,27.8,3.6,3.4,Yes,Approved,10,2,1,61.0,Obtained,Low,Yes,Completed,Private,,Issue Found,Yes,Clear,No,Updated,82.7,No,,6,5,Completed,Partially Approved,Pending,51.5,866.07,1487.0,90.2,No,4.4,No,Yes,Yes,No,In Progress,2.14,1.84,0.21,Low,Medium,Medium,IV,Red,Good,42.5,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0028,Madhya Pradesh,Jabalpur,Irrigation,20.6,11,Mostly Paid,50,2,Partial,37.8,43.2,70.6,Complete,Pending,4,Notification,2,0,13,23.155323,77.538546,synthetic_demo_district_center,Non-Green Zone,9.2,23.1,25.1,6.33,No,No,1107.0,No,Pending,No,No,1270.2,5.3,2.32,6.25,6.05,17.02,Plain,Agricultural,47.6,12.4,4.9,3.5,No,Pending,12,6,2,69.4,Partial,Medium,Yes,Not Required,Private,,Verified,No,Clear,No,Updated,61.0,Yes,,0,0,Not Required,Approved,Issued,75.8,1805.03,3316.91,94.9,No,32.3,No,Yes,No,Yes,Not Required,0.54,0.48,0.77,Low,Medium,Low,II,Black,Moderate,30.5,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0029,Karnataka,Belagavi,Airport,13.6,5,Mostly Paid,60,0,Mostly Obtained,67.1,33.0,39.7,Complete,Completed,3,Possession,3,0,14,23.268411,77.725597,synthetic_demo_district_center,Buffer Zone,42.2,9.8,12.3,11.62,No,No,545.0,No,Not Required,No,No,867.7,4.5,1.63,4.4,7.82,10.21,Hilly,Residential,50.1,13.2,2.5,3.9,Yes,Approved,6,0,1,60.4,Pending,Low,No,Not Required,Private,,Verified,No,Under Verification,Yes,Updated,61.5,No,,0,0,Pending,Pending,Issued,55.4,1687.5,2557.0,45.9,No,-0.6,No,Yes,No,No,Completed,0.32,0.24,1.32,Low,Medium,Low,III,Red,Good,40.5,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0030,Maharashtra,Nashik,Railway,14.6,9,Fully Paid,22,1,Not Started,80.5,19.8,90.3,Partially Complete,Completed,6,Planning,1,0,19,30.990312,75.883198,synthetic_demo_district_center,Non-Green Zone,18.3,3.5,1.9,2.89,No,No,268.0,No,Not Required,Yes,Yes,1452.1,3.1,1.8,2.17,2.1,11.9,Plain,Agricultural,69.0,8.4,2.4,1.0,No,Not Required,5,0,1,88.1,Obtained,Medium,No,Not Required,Private,,Verified,No,Clear,No,Updated,85.7,No,,2,2,Completed,Pending,Issued,77.3,1106.56,1617.99,14.3,No,-6.2,Yes,Yes,Yes,No,Not Required,1.04,1.47,6.79,Low,Low,Low,II,Alluvial,Moderate,43.9,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
